,text,label
709,half price Orange line rental latest camera phones 4 FREE Had phone Call free 08000938767 update T Cs ,spam
713,Save stress If person dorm account send account details money sent ,normal
714,He also knows lunch menu I know ,normal
715,When stuff sell tell ,normal
716,449071512431 URGENT This 2nd attempt contact U U WON 1250 CALL 09071512433 050703 T 7 50 ,spam
718,You WON guaranteed 1000 cash 2000 prize To claim yr prize call customer service representative 08714712394 ,spam
720,Oh Send address ,normal
721,S fine Anytime All best ,normal
722,That full ,normal
724,The world running still maybe feeling admit mad correction let call life keep running world may u r also running lets run ,normal
727,Alright gotta change order ,normal
728,Exactly Anyways far Is study visiting ,normal
731,No Spring coming early ,normal
734,Leaving search opportunity went fast add prayers dear ,normal
735,Then one talking ,normal
736,Thanks looking I really appreciate ,normal
738,Wish ,normal
739,u rite U know well feeling liked someone U faster go find one gals group attached ,normal
740,Yes Glad made ,normal
741,Do well little time Thing good times ahead ,normal
743,There may free gym ,normal
748,Is reason spoken year Anyways great week best exam ,normal
749,By next week Give full gist ,normal
753,When get library ,normal
755,So ,normal
758,U made appointment ,normal
760,Romantic Paris 2 nights 2 flights 79 Book 4 next year Call Cs apply ,spam
762,Urgent Ur 500 guaranteed award still unclaimed Call 09066368327 NOW 09 02 1 ,spam
765,UR awarded City Break could WIN 200 Summer Shopping spree every WK STORE 88039 1 ,spam
767,Sorry I call later ,normal
779,That means get door ,normal
782,,normal
788,5 Free Top Polyphonic Tones call 087018728737 National Rate Get tune sent every week text 81618 3 per pole 08718727870 ,spam
789,dear nice day ,normal
791,All e best 4 driving ,normal
792,Y WHERE U AT ITS JUST SOUNDING LIKE JAN C AL ,normal
794,There generally one It uncountable noun u dictionary pieces research ,normal
798,u leave house ,normal
802,FREE 1st week Nokia tone 4 mobile every week NOKIA 8077 Get tell mates co 36504 16 tone ,spam
803,You guaranteed 200 award even 1000 claim UR award call free 08000407165 18 2 stop 88222 ,spam
804,K I 4 ,normal
805,I imp ,normal
806,sure make sure knows yet ,normal
808,I taking half day leave well ,normal
812,Congratulations awarded either 500 CD gift vouchers Free entry 2 100 weekly draw MUSIC 87066 ,spam
814,U outbid DVD 2 bid visit ac 2 end bid notifications reply END OUT ,spam
817,Also bringing dobby ,normal
818,Then responding ,normal
823,4 Moon Children need song mob Tell Tone charity 8007 Poly charity polys zed 08701417012 profit 2 charity ,spam
824,Have good evening ,normal
825,Hmm Bits pieces sighs ,normal
826,use brain dear ,normal
827,Hey You got mail ,normal
829,Thanks yesterday sir You wonderful Hope enjoyed burial ,normal
830,U secret admirer REVEAL thinks U R So special Call 09065174042 To opt Reply REVEAL STOP 1 50 per recd care 07821230901 ,spam
832,Dear Voucher Holder To claim weeks offer PC please go e co Ts Cs apply To stop texts STOP 80062 ,spam
835,Good Morning Dear Have great amp successful day ,normal
836,Do want 750 anytime network 150 text NEW VIDEO phone five pounds per week call 08002888812 reply delivery tomorrow ,spam
840,I u much u understand special u r 2 ring u u xxx ,normal
841,send comprehensive mail paying much ,normal
843,Urgent call 09066350750 landline Your complimentary 4 Ibiza Holiday 10 000 cash await collection T Cs PO BOX 434 150 ppm 18 ,spam
844,K k going ,normal
852,No run activate full version ,normal
855,Talk sexy Make new friends fall love worlds discreet text dating service Just text VIP 83110 see could meet ,spam
858,Spoons okay ,normal
860,In work Going min ,normal
864,Dude seeing corvettes lately ,normal
865,Congratulations awarded either yrs supply Virgin Records Mystery Gift GUARANTEED Call 09061104283 Ts Cs net 1 approx ,spam
867,PRIVATE Your 2003 Account Statement 07808 shows 800 redeemed S I M points Call 08719899217 Identifier Code 41685 Expires 07 11 04 ,spam
868,Hello We need posh birds chaps user trial prods Can put I need address dob asap Ta r ,spam
871,Its going good problem still need little experience understand customer voice ,normal
872,I text I drop x ,normal
873,Ugh long day I exhausted Just want cuddle take nap ,normal
875,Shop till u Drop IS IT YOU either 500 Cash 100 Travel voucher Call 09064011000 PO Box Cost mobile vary ,spam
876,Are castor You need see something ,normal
877,Sunshine Quiz Wkly Q Win top Sony DVD player u know country Liverpool played mid week 82277 1 50 SP Tyrone ,spam
878,U secret admirer looking 2 make contact U find R reveal thinks UR special call 09058094565 ,spam
879,U Secret Admirer looking 2 make contact U find R reveal thinks UR special call 09065171142 08 ,spam
884,u know change permissions drive mac My flash drive ,normal
885,Gibbs unsold mike ,normal
890,Why ask princess ,normal
891,I great princess What thinking ,normal
892,Nutter Cutter ,normal
896,Hope good week Just checking ,normal
897,I used I hope agents drop since booked things year This whole experiment ,normal
901,How possible teach And ,normal
905,Hey sorry late reply ,normal
906,Marley Libertines The Strokes Win games Flirt Click Bookmark text 82468 ,spam
908,WHITE FUDGE ARE IN STORES ,normal
909,January Male Sale Hot Gay chat cheaper call 08709222922 National rate 1 min cheap 7 min peak To stop texts call 08712460324 min ,spam
914,Call waiting call ,normal
916,Was actually send reminder today Have wonderful weekend ,normal
919,talk ever word ,normal
920,When u see ,normal
921,On way school Can send number ,normal
922,It shall fine I Will ,normal
923,She went attend another two rounds today still reach home ,normal
924,Actually deleted old website blogging com ,normal
927,K give acc details ,normal
933,What time think Need know I near campus ,normal
934,Dear Matthew please call 09063440451 landline complimentary 4 Lux Tenerife holiday 1000 CASH await collection T Cs ,spam
938,Urgent call 09061749602 Landline Your complimentary 4 Tenerife Holiday 10 000 cash await collection T Cs BOX 528 18 ,spam
940,No sell tons coins Then sell coins someone thru Voila Money back life pockets ,normal
941,lots places Only hospitals medical places safe ,normal
944,I sent scores secondary application schools I think thinking applying research cost also Contact joke school one less expensive ones ,normal
946,Ur cash balance currently 500 pounds maximize cash send GO 86688 CC 08718720201 PO BOX 114 14 ,spam
948,ms dict ,normal
949,Is time want come ,normal
950,Awesome lemme know whenever around ,normal
951,b ,normal
953,Also remember get dobby bowl car ,normal
954,Filthy stories GIRLS waiting ,spam
956,Love decision feeling If could decide love life would much simpler less magical ,normal
958,My sort code acc The bank Can reply confirm sent right person ,normal
959,Where ,normal
961,URGENT We trying contact U draw shows 800 prize GUARANTEED Call 09050001808 land line Claim ,spam
964,Are much ,normal
966,I sure night menu I know noon menu ,normal
968,Are willing go aptitude class ,normal
969,It wont b 2 15 trying 2 sort house ,normal
971,awesome back ,normal
972,Yup e shop closes ,normal
973,account number ,normal
976,shall talk ,normal
977,hesitate You know second time weakness like So keep notebook eat day anything changed day sure nothing ,normal
980,If started searching get job days great potential talent ,normal
985,Carlos says mu gt minutes ,normal
990,26th OF JULY ,normal
994,I I number ,normal
996,class run water make ,normal
999,thanks ,normal
1000,No heard tat ,normal
1001,Please call customer service representative FREEPHONE 0808 145 4742 WON guaranteed 1000 cash 5000 prize ,spam
1003,gt I think Should say syllabus ,normal
1004,Did say anything ,normal
1005,Give sec think think ,normal
1007,I quite know I still get hold anyone I cud pick bout 7 see pub ,normal
1016,FREE 1st week Nokia tone 4 mob every week NOKIA 8007 Get tell mates co 36504 tone 16 ,spam
1017,Shall send mail id ,normal
1019,Don know wait check ,normal
1021,Guess Somebody know secretly fancies Wanna find Give us call 09065394514 From Landline min 18 ,spam
1023,May call You later ,normal
1024,pattern recently crap weekends ,normal
1026,Yes Any office ,normal
1029,Its good find way ,normal
1032,HAPPY NEW YEAR MY NO 1 MAN ,normal
1039,They talking de They wont ,normal
1041,I class Will later ,normal
1045,Come round ,normal
1046,Do 1 thing Change sentence Because want 2 concentrate educational career leaving ,normal
1047,1000 flirting NOW GIRL BLOKE NAME AGE GIRL ZOE 18 8007 join get chatting ,spam
1051,Do u wat time e place dat sells closes ,normal
1052,I got another job The one hospital data analysis something starts Not sure thesis got finished ,normal
1053,Jay getting really impatient belligerent ,normal
1055,I work Please call ,normal
1056,Then u drive ,normal
1057,Ard 515 like dat Y ,normal
1059,TV Quiz What FLOWER DOT compare D VIOLET E TULIP F LILY D E F 84025 NOW 4 chance 2 WIN 100 Cash ,spam
1060,I working technical support voice process networking field ,normal
1061,I might come 2 days prepared take leave plan travel visit need finish urgent works ,normal
1064,That fine I bitch later ,normal
1066,Once free call sir I waiting ,normal
1067,Meeting u work Tel shall work tomorrow ,normal
1068,Someone U know asked dating service 2 contact Cant Guess CALL 09058091854 NOW revealed PO ,spam
1071,URGENT We trying contact U draw shows 800 prize GUARANTEED Call 09050003091 land line Claim ,spam
1072,Dear U invited This final attempt contact u CHAT 86688 ,spam
1076,Where download clear movies copies ,normal
1077,Yep pretty sculpture ,normal
1079,Me watching movie 6 pm movie ,normal
1080,You tell happen behave like need say ,normal
1082,Send someone else ,normal
1086,I think spatula hands ,normal
1087,You never NOTHING ,normal
1089,today late DECIMAL gt min ,normal
1090,WIN URGENT Your mobile number awarded 2000 prize GUARANTEED call 09061790121 land line claim 3030 valid ,spam
1091,Please call mistake side sorry doctor ,normal
1092,Where r meeting ,normal
1095,Ryder unsold ,normal
1096,Dear Subscriber draw 4 100 gift voucher b entered receipt correct ans When Elvis Birthday answer 80062 ,spam
1100,You busy I come point figure tomorrow ,normal
1104,Message Important information user Today lucky day 2 find log onto com fantastic surprise awaiting ,spam
1109,S first time rocks ,normal
1111,Awesome think get 8th time tonight ,normal
1112,So means still think ,normal
1113,No I good movie I leave ,normal
1114,No home ground home town ,normal
1115,So lets make per convenience ,normal
1116,Hey What time driving We go evaluation ,normal
1119,Bored speed dating Try 80155 like em SWAP get new chatter rcd 16 ,spam
1120,Cancel get money back ,normal
1121,Do want 750 anytime network 150 text NEW video phone five pounds per week call 08000776320 reply delivery Tomorrow ,spam
1123,Good morning princess How ,normal
1128,Ur Quiz cash balance currently 500 maximize cash send 86688 ,spam
1129,So check errors difficulties correction ,normal
1131,Sorry I call later ,normal
1132,Good morning princess How ,normal
1134,U wake already 4 e tau quite nice ,normal
1135,K I need login anything ,normal
1137,No busy ,normal
1138,What u wearing ,normal
1139,Message text missing Sender Name Missing Number Missing Sent Date missing Missing U lot everything missing sent via com ,normal
1141,I know u u know Send CHAT 86688 let find Only HG Row 18 years ,spam
1147,Help ask working ,normal
1150,That said text one time ,normal
1151,Sorry I call later ,normal
1152,go change also ,normal
1153,1000 girls many local 2 u r virgins 2 r ready 2 every sexual need Can u text CUTE 69911 1 ,spam
1156,Hey Something came last min Think signing ,normal
1159,buying But school got offer 2000 plus ,normal
1160,You sure neighbors pick ,normal
1161,K I sent ,normal
1162,Free entry 2 wkly comp win FA Cup final 21st May 2005 Text FA 87121 receive entry question std rate T C apply ,spam
1164,Well Time make truffles ,normal
1165,yeah I see sec ,normal
1166,I number sir ,normal
1167,I hot air balloon ,normal
1169,r time pass They silently say I thinking U right also making U think least 4 moment Gd ,normal
1171,Got takes 2 take part Rally Oz U Energy Text RALLY LE 61200 see packs co u ,spam
1172,Happy new years melody ,normal
1173,dun need pick ,normal
1177,Just came ,normal
1179,To day class class ,normal
1180,I ,normal
1184,Yo around Just got car back ,normal
1185,Annoying ,normal
1187,There point right u happy ,normal
1190,We done ,normal
1191,Come home one last time wont anything Trust ,normal
1193,Sex mobile FREE sexy pic Jordan Just text BABE 88600 Then every wk get sexy celeb co 4 pics 16 3 wk 087016248 ,spam
1197,He also knows lunch menu I know ,normal
1200,Otherwise part time job tuition ,normal
1201,I know called ,normal
1203,Thanks understanding I trying tell sura ,normal
1204,WIN year supply 4 store choice worth 500 enter 100 Weekly draw MUSIC 87066 Ts Cs com ,spam
1206,As SIM subscriber selected receive Bonus Get delivered door word OK No 88600 claim EXP ,spam
1208,Also missing ,normal
1209,His real ,normal
1211,come home half hour ,normal
